English words/sentences,French words/sentences
She is getting breakfast ready.,Elle est en train de préparer le petit-déjeuner.
"If you are to realize your dream, you must work harder.","Si tu comptes réaliser ton rêve, tu dois travailler davantage."
I'm looking forward to seeing you in a wedding dress.,Je suis impatient de vous voir en robe de mariée.
My uncle is an amateur cricket player.,Mon oncle est un joueur de cricket amateur.
That reminds me of something I heard yesterday.,Cela me rappelle quelque chose que j'ai entendu hier.
Recently we have had several disasters.,Nous avons récemment connu plusieurs désastres.
Tom is very interested in jazz.,Tom est très intéressé par le jazz.
"For three weeks, he ate nothing at all.","Durant trois semaines, il ne mangea rien du tout."
I don't want you touching my stuff.,Je ne veux pas que tu touches à mes trucs.
What does this have to do with us?,Qu'est-ce que ceci a à voir avec nous ?
I told you I have a girlfriend.,Je t'ai dit que j'ai une petite amie.
The storm became even more violent.,La tempête devint encore plus violente.
Don't hang up!,Ne raccroche pas !
He's watching me.,Il m'observe.
It's about time you stopped watching television.,Il est temps d'arrêter de regarder la télévision.
This is the fastest car in our showroom.,C'est la bagnole la plus rapide de notre hall d'exposition.
I don't have my purse.,Je n'ai pas mon sac-à-main.
You have to be careful.,Il faut que tu sois prudent.
Do you see that house? That's my house.,Vois-tu cette maison ? C'est ma maison.
All of us stared at her.,Nous la fixions tous.
I think we need to have a talk.,Je pense qu'il faut qu'on parle.
We all want to be desired.,Nous voulons tous être désirés.
I really like this wine a lot.,J'aime beaucoup ce vin.
He stood aside for her to enter.,Il se mit sur le côté pour qu'elle entre.
You've got the wrong person.,Vous avez serré la mauvaise personne.
Going out drinking with the guys makes him feel macho.,Sortir boire avec ses copains la fait se sentir un mec.
The kids are scared.,Les enfants ont peur.
We are busy men.,Nous sommes des hommes occupés.
We're moving out of this apartment next month.,Nous déménageons de cet appartement le mois prochain.
The battery needs to be recharged.,La batterie a besoin d'être rechargée.
Get your gear.,Va chercher tes affaires !
"The problem is not what he said, but how he said it.","Le problème ne réside pas dans ce qu'il a dit, mais dans la manière dont il l'a dit."
"She was a child, but she was brave.","C'était une enfant, mais elle était courageuse."
We work with what we have.,Nous travaillons avec ce que nous avons.
"Could you do this instead of me? ""Sorry, I'm too busy.""","« Pourrais-tu le faire à ma place ? » « Désolé, je suis trop occupé. »"
Which browser are you using?,Quel navigateur utilises-tu ?
We just have to get out of here.,Il nous suffit de sortir d'ici.
I really need to talk to you.,J'ai vraiment besoin de te parler.
"For the first time in more than 6 years, the unemployment rate is below 6%.","Pour la première fois en plus de six ans, le taux de chômage est inférieur à six pourcents."
There's some leftover food in the fridge.,Il y a quelques restes dans le frigo.
I will never forget the day when I first met him.,Je n'oublierai jamais le jour où je l'ai rencontré pour la première fois.
I'd be delighted if they asked me to give a speech.,Je serais ravie si elles me demandaient de prononcer un discours.
You were so strong.,Vous étiez si fortes.
I am looking for room with twin beds.,Je suis à la recherche d'une chambre avec des lits jumeaux.
I'm not old enough to do that.,Je ne suis pas assez vieille pour faire ça.
Our music teacher advised me to visit Vienna.,Notre professeur de musique me conseilla de visiter Vienne.
Are we going for a walk?,Allons-nous faire une promenade ?
What I can do for you?,Qu'est-ce que je peux faire pour toi ?
Don't lie to me.,Ne me mens pas.
"Can you speak a little louder, please?","Pouvez-vous parler un peu plus fort, s'il vous plaît ?"
He explored the region around the South Pole.,Il a exploré la région aux alentours du pôle Sud.
